Score,Popularity,Rank,Members,Description,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating
7.89,383,816,568,"At the Battle of Sekigahara in 1600, Toyohisa Shimazu is the rearguard for his retreating troops, and is critically wounded when he suddenly finds himself in a modern, gleaming white hallway. Faced with only a stoic man named Murasaki and hundreds of doors on both sides, Toyohisa is pulled into the nearest door and into a world completely unlike his own.

The strange land is populated by all manner of fantastical creatures, as well as warriors from different eras of Toyohisa's world who were thought to be dead. Quickly befriending the infamous warlord Nobunaga Oda and the ancient archer Yoichi Suketaka Nasu, Toyohisa learns of the political unrest tearing through the continent. Furthermore, they have been summoned as ""Drifters"" to fight against the ""Ends,"" people who are responsible for the creation of the Orte Empire and are trying to annihilate the Drifters. As the Ends grow more powerful, so does the Empire's persecution of elves and other demihumans. It is up to Toyohisa and his group of unconventional heroes to battle in a brand-new world war to help the Empire's subjects, while protecting the land to claim for themselves and challenging the Ends.

[Written by MAL Rewrite]",Drifters,TV,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",Fall 2016,Fridays at 23:00 (JST),NBCUniversal Entertainment Japan,Funimation,Hoods Entertainment,Manga,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",SeinenSeinen,23 min. per ep.,R - 17+ (violence & profanity)
8.14,83,448,1,"Thirty-seven-year-old Satoru Mikami is a typical corporate worker, who is perfectly content with his monotonous lifestyle in Tokyo, other than failing to nail down a girlfriend even once throughout his life. In the midst of a casual encounter with his colleague, he falls victim to a random assailant on the streets and is stabbed. However, while succumbing to his injuries, a peculiar voice echoes in his mind, and recites a bunch of commands which the dying man cannot make sense of.

When Satoru regains consciousness, he discovers that he has reincarnated as a goop of slime in an unfamiliar realm. In doing so, he acquires newfound skills—notably, the power to devour anything and mimic its appearance and abilities. He then stumbles upon the sealed Catastrophe-level monster ""Storm Dragon"" Veldora who had been sealed away for the past 300 years for devastating a town to ashes. Sympathetic to his predicament, Satoru befriends him, promising to assist in destroying the seal. In return, Veldora bestows upon him the name Rimuru Tempest to grant him divine protection. 

Now, liberated from the mundanities of his past life, Rimuru embarks on a fresh journey with a distinct goal in mind. As he grows accustomed to his new physique, his gooey antics ripple throughout the world, gradually altering his fate.

[Written by MAL Rewrite]",That Time I Got Reincarnated as a Slime,TV,24,Finished Airing,"Oct 2, 2018 to Mar 19, 2019",Fall 2018,Tuesdays at 00:00 (JST),"Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing",Funimation,8bit,Manga,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
8.18,112,405,1,"Five years after winning the World Martial Arts tournament, Gokuu is now living a peaceful life with his wife and son. This changes, however, with the arrival of a mysterious enemy named Raditz who presents himself as Gokuu's long-lost brother. He reveals that Gokuu is a descendant of the once powerful but now virtually extinct Saiyan race, whose homeworld was annihilated. When he was sent to Earth as a baby, Gokuu's sole purpose was to conquer and destroy the planet; but after suffering amnesia from a head injury, his violent and savage nature changed, and instead was raised as a kind and well-mannered boy, now fighting to protect others.

With his failed attempt at forcibly recruiting Gokuu as an ally, Raditz warns Gokuu's friends of a new threat that's rapidly approaching Earth—one that could plunge Earth into an intergalactic conflict and cause the heavens themselves to shake. A war will soon be fought over the seven mystical Dragon Balls, magic objects that can grant any wish. Only the strongest will survive.

[Written by MAL Rewrite]",Dragon Ball Z,TV,291,Finished Airing,"Apr 26, 1989 to Jan 31, 1996",Spring 1989,Wednesdays at 19:00 (JST),"Fuji TV, Shueisha",Funimation,Toei Animation,Manga,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
8.03,2579,590,70,"In the kingdom of Xoana, Lina Inverse and Gourry Gabriev unexpectedly come across their old companions, Zelgadis Graywords and Princess Ameilia Wil Tesla Saillune. Upon their reunion, the friends end up easily foiling the King of Xoana and his daughter's dastardly plans of world conquest.

Soon after, it is revealed that Zelgadis is in search of the world's most valuable magical tome, the Claire Bible, hoping to discover a method to recover his human body among the many secrets sheltered within it. Despite his protests, the rest of the group decides to join in the quest after hearing of his mission. However, just when they were wondering where to start looking for the legendary book, they stumble upon a mysterious priest by the name of Xellos, who claims that he may be of some help in their pursuit.

[Written by MAL Rewrite]",Slayers Next,TV,26,Finished Airing,"Apr 5, 1996 to Sep 27, 1996",Spring 1996,Fridays at 18:30 (JST),"J.C.Staff, TV Tokyo, SoftX","Funimation, Central Park Media, Enoki Films",E&G Films,Light novel,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",,24 min. per ep.,PG-13 - Teens 13 or older
7.82,2957,962,55,"For nearly a millennium, demons have imposed a magical barrier that has impeded the people trapped within it from reaching the outside world. Now that it is broken, several kingdoms seek to explore the lands that were once beyond their grasp. To this end, they establish a peace delegation to make contact with the inhabitants of the new world.

Meanwhile, the young sorceress Lina Inverse receives a message from a mysterious woman named Filia ul Copt. When they meet, Filia expresses interest in hiring Lina and her friends, having heard of their great deeds, for a certain task that will take them to the outside realm. Despite that, Filia feels the need to put their strength to the test and pits them against a dragon in the middle of the city! After proving themselves, the sorceress and her fellow adventurers set off for the unexplored lands, where many adventures and a worrying prophecy await them.

[Written by MAL Rewrite]",,TV,26,Finished Airing,"Apr 4, 1997 to Sep 26, 1997",Spring 1997,Fridays at 18:30 (JST),SoftX,"Funimation, Central Park Media",E&G Films,Light novel,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older
8.27,960,288,253,Third season of Tensei shitara Slime Datta Ken.,That Time I Got Reincarnated as a Slime Season 3,TV,24,Currently Airing,"Apr 5, 2024 to ?",Spring 2024,Fridays at 23:00 (JST),"Kodansha, Nippon Television Network, BS11, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions, Bandai Namco Filmworks, Bandai Namco Music Live","None found, add some",8bit,Manga,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
8.33,256,231,760,"The nation of Tempest is in a festive mood after successfully overcoming the surprise attack from the Falmuth Army and the Western Holy Church. Beyond the festivities lies a meeting between Tempest and its allies to decide the future of the Nation of Monsters. The aftermath of the Falmuth invasion, Milim Nava's suspicious behavior, and the disappearance of Demon Lord Carrion—the problems seem to keep on piling up.

Rimuru Tempest, now awakened as a True Demon Lord, decides to go on the offensive against Clayman. With the fully revived Storm Dragon Veldora, Ultimate Skill Raphael, and other powerful comrades, the ruler of the Tempest is confident in taking down his enemies one by one until he can face the man pulling the strings.

[Written by MAL Rewrite]",That Time I Got Reincarnated as a Slime Season 2 Part 2,TV,12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",Summer 2021,Tuesdays at 23:00 (JST),"Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions",Crunchyroll,8bit,Manga,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
7.97,148,681,1,"Gokuu Son is a young boy who lives in the woods all alone—that is, until a girl named Bulma runs into him in her search for a set of magical objects called the ""Dragon Balls."" Since the artifacts are said to grant one wish to whoever collects all seven, Bulma hopes to gather them and wish for a perfect boyfriend. Gokuu happens to be in possession of a dragon ball, but unfortunately for Bulma, he refuses to part ways with it, so she makes him a deal: he can tag along on her journey if he lets her borrow the dragon ball's power. With that, the two set off on the journey of a lifetime.

They don't go on the journey alone. On the way, they meet the old Muten-Roshi and wannabe disciple Kuririn, with whom Gokuu trains to become a stronger martial artist for the upcoming World Martial Arts Tournament. However, it's not all fun and games; the ability to make any wish come true is a powerful one, and there are others who would do much worse than just wishing for a boyfriend. To stop those who would try to abuse the legendary power, they train to become stronger fighters, using their newfound strength to help the people around them along the way.

[Written by MAL Rewrite]",Dragon Ball,TV,153,Finished Airing,"Feb 26, 1986 to Apr 12, 1989",Winter 1986,Wednesdays at 19:00 (JST),"Fuji TV, Shueisha",Funimation,Toei Animation,Manga,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
8.38,162,198,956,"Taking a break from his time as a teacher, the powerful slime Rimuru Tempest returns to his kingdom, eponymously named Tempest, just in time to begin negotiations with a nearby nation—the Kingdom of Eurazania. While the negotiations are anything but peaceful, they do end successfully, allowing Rimuru to return and finish teaching. When trying to again return to Tempest, this time permanently, Rimuru is stopped by a mysterious figure who is somehow able to constrain the many magical abilities he has at his disposal. 

In Tempest, the situation is even worse. A group of unknown humans has invaded the land and are assaulting its citizens, both influential and innocent. They are not just trying to bring harm either—they have the intent to kill. Can Rimuru overcome his powerful and dangerous foe and return to Tempest before it is too late?  

[Written by MAL Rewrite]",That Time I Got Reincarnated as a Slime Season 2,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 23:00 (JST),Kodansha,Funimation,8bit,Manga,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
7.81,3759,985,35,"Lupin III chronicles the adventures of Arsene Lupin III, the world's greatest thief, and his partners in crime: master marksman Daisuke Jigen, beautiful and scheming Fujiko Mine and stoic samurai Goemon Ishikawa XIII. Lupin and his gang travel around the globe in search of the world's greatest treasures and riches and always keeping one step ahead of the tireless Inspector Zenigata, who has vowed to bring Lupin to justice. 

(Source: ANN)",,TV,155,Finished Airing,"Oct 3, 1977 to Oct 6, 1980",Fall 1977,Mondays at 19:00 (JST),"VAP, Animax, Studio Jack","Discotek Media, Geneon Entertainment USA, Streamline Pictures",Tokyo Movie Shinsha,Manga,"ActionAction, AdventureAdventure, ComedyComedy, MysteryMystery",SeinenSeinen,25 min. per ep.,PG-13 - Teens 13 or older
7.91,2565,768,71,"Lupin is the main character in this series which takes place in Italy and San Marino.

Reflecting its setting, the anime debuted in Italy before it aired in Japan. Lupin III fans will note that the titular thief now dons a blue coat, following his earlier appearances in green (first series and some OVAs), red (the second series as well as most films and television specials) and pink (third series).

(Source: Crunchyroll)",Lupin the Third Part 4,TV,24,Finished Airing,"Oct 2, 2015 to Mar 18, 2016",Fall 2015,Fridays at 01:29 (JST),"TMS Entertainment, TMS Music",Discotek Media,Telecom Animation Film,Manga,"ActionAction, AdventureAdventure, ComedyComedy, MysteryMystery",SeinenSeinen,25 min. per ep.,PG-13 - Teens 13 or older
8.15,3331,435,44,"Genius thief Arsene Lupin III—along with the usual crew of Goemon Ishikawa XIII, Fujiko Mine, and Daisuke Jigen—finds himself in modern-day France, where he encounters both new and old adversaries, with Inspector Kouichi Zenigata still hot on his trail. As they steal from darker, more sinister entities, they will also have to find a way to deal with the newest technology in their escapades, as well as face the ghosts of their pasts. However, this time, Lupin's choices begin to catch up with him as his pursuers use every tool at their disposal to take him down once and for all.

[Written by MAL Rewrite]",Lupin the Third Part 5,TV,24,Finished Airing,"Apr 4, 2018 to Sep 19, 2018",Spring 2018,Wednesdays at 01:29 (JST),"Nippon Television Network, TMS Music",Discotek Media,Telecom Animation Film,Manga,"ActionAction, AdventureAdventure, ComedyComedy, MysteryMystery",SeinenSeinen,22 min. per ep.,PG-13 - Teens 13 or older
7.85,6072,886,11,"After the death of Saizou, Kabamaru's horribly strict grandfather and Iga ninja teacher (sensei), an old lady, Ran Ookubo, claims that she received a letter from him asking her to take care of his grandson. So Kabamaru runs off with Lady Ookubo to the big city Tokyo to gorge on yakisoba, ramen, chow mein, and attend a regular school—which turns out to have weird quirks of its own. 

(Source: ANN) ",,TV,24,Finished Airing,"Oct 20, 1983 to Mar 29, 1984",Fall 1983,Thursdays at 19:00 (JST),TOHO,"None found, add some",Group TAC,Manga,"ActionAction, AdventureAdventure, ComedyComedy, RomanceRomance",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older
7.84,1488,915,156,"Gene Starwind has always dreamed of piloting his own ship out into the vast sea of stars. Unfortunately, not all dreams come true, as he spends his days working odd jobs alongside his partner, James Hawking, on the small planet Sentinel III instead. However, this all takes a turn when the duo takes on a job from Rachel Sweet who, unbeknownst to them, is actually a treasure-hunting outlaw. Tasked with protecting a mysterious girl known as Melfina, the meeting irrevocably changes the pair's lives as they are sent out into the great unknown aboard the highly advanced ship, Outlaw Star.

Seihou Bukyou Outlaw Star follows Gene and his ragtag crew as they brave the final frontier, navigating the stars in search of answers to the mysteries surrounding Melfina. Encountering dangerous bounty hunters, space pirates, Taoist mages, and even catgirls, there is sure to be an exhilarating adventure around every corner.

[Written by MAL Rewrite]",Outlaw Star,TV,24,Finished Airing,"Jan 9, 1998 to Jun 26, 1998",Winter 1998,Fridays at 01:15 (JST),"Sotsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,Manga,"ActionAction, AdventureAdventure, ComedyComedy, Sci-FiSci-Fi",SeinenSeinen,25 min. per ep.,R+ - Mild Nudity
8.03,4236,602,27,"Having been born a brindle (""Tora-ge"" or tiger striped) Akita, Gin (""Silver"", named after his fur color) is destined to become a successful bear-hunting dog. However, when he witnesses his father's death at the hands of the man-eating demon bear Akakabuto, he is chosen above his siblings to become his father's successor and defeat the monstrous bear that terrorizes his home village. As Akakabuto gathers his own allies, Gin must travel across Japan in search of dogs to join him in an all out war of dog vs. bear.",Silver Fang,TV,21,Finished Airing,"Apr 7, 1986 to Aug 22, 1986",Spring 1986,Saturdays at Unknown,TV Asahi,"None found, add some",Toei Animation,Manga,"ActionAction, AdventureAdventure, DramaDrama",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
8.75,75,47,1,"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth.

The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on.

[Written by MAL Rewrite]",,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Kodansha, Twin Engine",Sentai Filmworks,Wit Studio,Manga,"ActionAction, AdventureAdventure, DramaDrama",SeinenSeinen,24 min. per ep.,R - 17+ (violence & profanity)
8.81,359,31,604,"After his father's death and the destruction of his village at the hands of English raiders, Einar wishes for a peaceful life with his family on their newly rebuilt farms. However, fate has other plans: his village is invaded once again. Einar watches helplessly as the marauding Danes burn his lands and slaughter his family. The invaders capture Einar and take him back to Denmark as a slave. 

Einar clings to his mother's final words to survive. He is purchased by Ketil, a kind slave owner and landlord who promises that Einar can regain his freedom in return for working in the fields. Soon, Einar encounters his new partner in farm cultivation—Thorfinn, a dejected and melancholic slave. As Einar and Thorfinn work together toward their freedom, they are haunted by both sins of the past and the ploys of the present. Yet they carry on, grasping for a glimmer of hope, redemption, and peace in a world that is nothing but unjust and unforgiving.

[Written by MAL Rewrite]",Vinland Saga Season 2,TV,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,Tuesdays at 00:30 (JST),"Dentsu, Kodansha, Twin Engine","None found, add some",MAPPA,Manga,"ActionAction, AdventureAdventure, DramaDrama",SeinenSeinen,25 min. per ep.,R - 17+ (violence & profanity)
